actual_order,num_obser,auto_arima_true_count,auto_arima_false_count,least_p_true_count,least_p_false_count,refit_avg_rmse_least_p_model,avg_rmse_least_p_model_values,refit_avg_rmse_auto_arima,avg_rmse_auto_arima_model,refit_avg_insig_params_least_p_model,avg_insig_params_least_p_model,refit_avg_insig_params_auto_arima_model,avg_insig_params_auto_arima_model,avg_sw_p_value	,avg_lbq_p_value,avg_t_test_p_value,avg_validation_score
1 0 2,300,2,13,0,15,1.3495390781275,1.37806643957369,1.39042024902406,1.4355606530843,0.2,2.73333333333333,1.66666666666667,0.866666666666667,0.476860442841033,0.540650448939496,0.611118967961438,0.866666666666667
5 0 0,300,4,11,1,14,1.1725302212755,1.16728520857698,1.19665931315464,1.23830835044251,0.4,2.46666666666667,1.26666666666667,0.733333333333333,0.533227364535006,0.647025832262686,0.629796361424563,0.866666666666667
4 0 2,300,3,12,0,15,1.22229837389913,1.25707203099147,1.23401869171327,1.22897600028768,0.133333333333333,2.46666666666667,0.866666666666667,0.6,0.418053893265805,0.677978805159322,0.662130239007185,0.866666666666667
4 0 2,300,2,13,0,15,1.37579204728997,1.36898463764759,1.41951066909567,1.40821633736995,0.2,2.53333333333333,1.13333333333333,0.8,0.515889730230607,0.59631157854445,0.665246276414662,0.866666666666667
2 0 0,300,5,10,1,14,1.31383236556837,1.30735824019127,1.4936728253019,1.54567801140247,0.2,1.73333333333333,1,0.466666666666667,0.519011297756436,0.58037986848026,0.614366974728518,0.8
5 0 4,300,4,11,2,13,1.27940503062922,1.27786521840169,1.41581043110367,1.41330286223042,0.133333333333333,2.26666666666667,0.933333333333333,0.733333333333333,0.55502145772732,0.497769353307982,0.646464784348849,0.933333333333333
0 0 4,300,4,11,1,14,1.29724194842554,1.32807001427949,1.3473120151307,1.36505678891442,0.466666666666667,2.46666666666667,1.46666666666667,0.4,0.538797407420811,0.60001250888225,0.531514330180879,0.8
3 0 2,300,3,12,0,15,1.19484136386391,1.25667831702247,1.32015672972972,1.38684451056174,0.133333333333333,1.66666666666667,1.33333333333333,0.666666666666667,0.530545726154568,0.61216225686,0.609428118764501,0.933333333333333
5 0 3,300,4,11,1,14,1.53413802851292,1.57560668239302,1.61428840297753,1.69074339244214,0.466666666666667,2.4,1.4,0.733333333333333,0.509085053073007,0.571256679842671,0.742325737020123,0.866666666666667
5 0 0,300,1,14,1,14,1.32060763255752,1.32438121202013,1.38410314959964,1.38998267111479,0.2,1.53333333333333,1.06666666666667,0.2,0.434990450609849,0.48265528746105,0.647105353921706,0.8
1 0 5,300,2,13,0,15,1.57251492256259,1.58962415376565,1.60784735659637,1.62731013582207,0.4,2.2,0.933333333333333,0.4,0.453565304638743,0.619049129791269,0.61526659656864,0.666666666666667
3 0 4,300,3,12,0,15,1.04540480428574,1.07041416806251,1.19619598388397,1.22369090962615,0.266666666666667,2.6,1.33333333333333,0.733333333333333,0.512767899506604,0.79491363560443,0.650970781298478,0.866666666666667
3 0 1,300,5,10,0,15,1.36952549821624,1.4022749585502,1.47275180645637,1.51024458930714,0.2,1.8,0.933333333333333,0.4,0.531757446756663,0.667677261535823,0.568918325641548,0.8
5 0 1,300,3,12,2,13,1.19631589954297,1.19004536930097,1.25687721984544,1.2704646788449,0.0666666666666667,1.93333333333333,1.46666666666667,0.0666666666666667,0.437487707831003,0.721180152396266,0.636436615702445,0.866666666666667
0 0 5,300,3,12,0,15,1.31362956128321,1.31652748952617,1.37466569408733,1.44492998567552,0.266666666666667,1.66666666666667,1.46666666666667,1,0.454072144472913,0.433402506263606,0.65238203185471,0.8
5 0 2,300,3,12,2,13,1.20829480242463,1.21087318537024,1.23346918647921,1.24964387496646,0.466666666666667,2.33333333333333,1.06666666666667,0.933333333333333,0.383964820433758,0.721532959021877,0.655238084280314,0.933333333333333
5 0 4,300,2,13,1,14,1.06830655961025,1.06639353222575,1.11731153710886,1.13855387501271,0.333333333333333,2.2,1.06666666666667,0.533333333333333,0.4943103287436,0.622468979145892,0.536938209096768,0.8
1 0 5,300,2,13,0,15,1.51304225310385,1.5030443970154,1.78608556996735,1.83715168024591,0.2,2.46666666666667,1.2,0.333333333333333,0.561858954236305,0.652211008450858,0.673838834984623,0.933333333333333
1 0 5,300,4,11,0,15,1.32271442926413,1.33363875878334,1.39816391063738,1.40862494067201,0.4,2.13333333333333,0.933333333333333,0.466666666666667,0.438427361447992,0.590873906509674,0.572352824665099,0.8
3 0 3,300,2,13,1,14,1.38953955935963,1.38698283182928,1.51098308221021,1.52526339596102,0.333333333333333,1.8,1.06666666666667,0.666666666666667,0.621000013296326,0.593117228903019,0.605420945542294,1
5 0 1,300,2,13,0,15,1.59159662609778,1.60954984359905,1.66293975378895,1.70721651328194,0.0666666666666667,1.73333333333333,1.53333333333333,0.666666666666667,0.538644324882916,0.385381996939802,0.446357305966764,0.666666666666667
3 0 5,300,1,14,2,13,1.95466917889959,1.94712682579012,2.02595796353477,2.09745927481535,0.8,2.26666666666667,1.33333333333333,1,0.482399986627023,0.570666532353008,0.687104762863546,0.6
0 0 0,300,4,11,0,15,1.18676983922303,1.19510378124204,1.17992225813106,1.16506450100889,0.4,1.86666666666667,1.53333333333333,0.933333333333333,0.531531130732746,0.506315916286547,0.556675103809197,0.733333333333333
5 0 4,300,1,14,1,14,1.29354331969567,1.31742475376597,1.41694863345574,1.43473463578356,0.333333333333333,2.13333333333333,1.46666666666667,0.533333333333333,0.519638512800321,0.533302888663253,0.74185442138577,0.933333333333333
5 0 0,300,3,12,0,15,1.48322518048806,1.50898420248571,1.58303680196227,1.4747879843537,0.533333333333333,2.06666666666667,1.53333333333333,1.2,0.475074413587374,0.528063482444852,0.551111611902438,0.733333333333333
2 0 3,300,2,13,0,15,1.674098748141,1.69608584478366,1.69697220461338,1.72925317900561,0.133333333333333,2.4,1.2,0.333333333333333,0.46902904003484,0.57380007246983,0.616034693638216,0.8
2 0 5,300,1,14,0,15,1.46964707363708,1.48306423178863,1.51939593138344,1.50415397262107,0.133333333333333,1.8,1.13333333333333,0.733333333333333,0.666632940594253,0.533657453495799,0.659548430934713,0.733333333333333
0 0 4,300,3,12,0,15,1.17746660212125,1.18607246435282,1.2007031431502,1.26234748588904,0.266666666666667,2.13333333333333,1.33333333333333,0.533333333333333,0.476339600867935,0.511550059371051,0.604944172013941,0.733333333333333
0 0 0,300,5,10,0,15,1.30979898426748,1.33393733085519,1.31955160740111,1.3961309662256,0.2,2.06666666666667,1.6,0.933333333333333,0.375026551582984,0.690169638715636,0.628516296324812,0.733333333333333
5 0 4,300,2,13,1,14,1.35132428273624,1.37650757023644,1.49732467299942,1.45683141314757,0.733333333333333,2.13333333333333,1,0.4,0.336522643458147,0.57572561355088,0.651105912559259,0.866666666666667
4 0 0,300,4,11,1,14,1.23864816794738,1.22659775458879,1.30828279700343,1.23134030710651,0.266666666666667,2.26666666666667,1.26666666666667,0.466666666666667,0.419572330008241,0.67006796742967,0.664763266297594,0.933333333333333
3 0 1,300,5,10,1,14,1.35323170953527,1.36555124121282,1.34325744849212,1.33816299811506,0.266666666666667,1.73333333333333,1.13333333333333,0.866666666666667,0.490303621697827,0.566443602023343,0.613300518016066,0.866666666666667
0 0 5,300,3,12,1,14,1.23975439145139,1.25175000991732,1.33512575121427,1.33351524161246,0.466666666666667,2.46666666666667,1.46666666666667,0.8,0.531682727966294,0.631286320828471,0.635057034358085,0.866666666666667
3 0 2,300,5,10,0,15,1.24638163650319,1.29055697111144,1.29201173038588,1.31526094375006,0.2,2.26666666666667,0.8,0.533333333333333,0.504712641791663,0.57285860415909,0.676607733996982,0.866666666666667
2 0 3,300,2,13,0,15,1.26269224750469,1.26657712191233,1.38490109864153,1.39934017060122,0.466666666666667,1.8,1.26666666666667,0.266666666666667,0.395825452871237,0.61019396079063,0.686609000692265,0.8
2 0 5,300,2,13,1,14,1.47943706896673,1.53793502301149,1.57602962009831,1.59078716941282,0.266666666666667,2.4,0.933333333333333,0.8,0.577714750461943,0.587118047399035,0.544061601123298,0.866666666666667
1 0 4,300,4,11,0,15,1.19803414770228,1.21603679594624,1.23069496557945,1.24328768566947,0.2,1.93333333333333,1.46666666666667,0.6,0.533473250909105,0.565674430157327,0.675442263372422,1
2 0 3,300,4,11,0,15,1.14410090383079,1.13077382683462,1.26793455822582,1.23584310427501,0.6,2.66666666666667,1.6,1.06666666666667,0.495409636717811,0.671569805910471,0.685577381124611,1
3 0 0,300,3,12,0,15,1.54479311872367,1.51864079705075,1.54743116069788,1.58360527063986,0.2,2.2,1.13333333333333,0.266666666666667,0.52756098452292,0.522084754200916,0.599669575415323,0.8
5 0 5,300,2,13,2,13,1.29152195666252,1.2963696996951,1.28010168473426,1.27753350101917,0.6,1.93333333333333,1.13333333333333,0.666666666666667,0.645779461615763,0.698451858390501,0.577319890090971,0.866666666666667
2 0 4,300,2,13,0,15,1.58195336214918,1.58240377289365,1.77445954193024,1.81243391466955,0.133333333333333,1.73333333333333,1.46666666666667,0.8,0.480304732625001,0.521158699443705,0.726541992543815,0.933333333333333
4 0 1,300,3,12,0,15,1.38068729509734,1.39793830922646,1.48290500726179,1.51000651863059,0.333333333333333,2.26666666666667,1,0.733333333333333,0.644360061019814,0.51356382705339,0.617185353149627,0.933333333333333
5 0 2,300,3,12,0,15,1.48195513431824,1.48832437884743,1.60167335161539,1.7299615178071,0.266666666666667,2,1.06666666666667,0.8,0.606535724180746,0.609659817483629,0.751348632689482,0.866666666666667
2 0 5,300,3,12,0,15,1.29545791859676,1.29580881921376,1.33998118899091,1.34536969011897,0.4,2.33333333333333,1.8,0.933333333333333,0.449982345798824,0.611012470089684,0.580043197668552,1
3 0 5,300,3,12,0,15,1.43574105340643,1.4174411184761,1.57236540744582,1.66145453189207,0.533333333333333,2.73333333333333,1.26666666666667,0.533333333333333,0.527007061000094,0.54756283636713,0.648035968553646,0.866666666666667
1 0 1,300,6,9,0,15,1.19355489757892,1.17547233381061,1.26589071553647,1.28860314977792,0.266666666666667,2.26666666666667,1.4,0.533333333333333,0.330789988336985,0.604295784407422,0.530047300564045,0.8
1 0 5,300,2,13,3,12,1.33796389754856,1.37642921665727,1.33797813761697,1.39914334212026,0.266666666666667,2.2,1.13333333333333,0.466666666666667,0.618717094494797,0.601589434623428,0.660437365279913,0.866666666666667
0 0 1,300,5,10,2,13,1.35367726620764,1.35330132279453,1.43537068033815,1.44668602825447,0.266666666666667,1.4,1.13333333333333,0.8,0.543624858939043,0.593140551905418,0.603006097311737,0.866666666666667
0 0 4,300,3,12,0,15,1.30374976207806,1.28803865138249,1.45171728918819,1.4628425164177,0.266666666666667,2,1,0.6,0.5427983176459,0.737002957773202,0.601869480345534,0.933333333333333
2 0 2,300,1,14,0,15,1.25922107185928,1.26728256780694,1.27554474985274,1.27738954269639,0.133333333333333,1.86666666666667,1,0.466666666666667,0.564372964509011,0.553819338576099,0.692738800610676,0.866666666666667
2 0 3,300,3,12,1,14,1.16447915064802,1.20318343171967,1.23392743747726,1.27401913309248,0.266666666666667,2.4,1.2,0.333333333333333,0.617833843684066,0.665487505652123,0.657183086380216,0.933333333333333
4 0 3,300,5,10,2,13,1.31326388593462,1.29766693074598,1.37387758928719,1.32892215182706,0.2,2.06666666666667,1.13333333333333,0.666666666666667,0.467056894572993,0.688134053954152,0.664214962931092,1
2 0 2,300,2,13,0,15,1.38611556122985,1.37617319557189,1.4844843650815,1.48818170494467,0.333333333333333,1.8,1.2,0.333333333333333,0.415431644466281,0.513765445612296,0.634563260783742,0.733333333333333
